arbitrage_rank,arbitrage_multiple,poecurrency_title,poecurrency_category,poecurrency_price_usd,poecurrency_stock,listing_quantity,scout_name,scout_category,scout_kind,scout_divine_price,listing_divine_value,scout_quantity,price_per_divine_usd,usd_per_divine,direct_divine_price_usd
270,0.0432,Warding Rune of Disintegration,Socketable / Runes,0.02,-1,1.0,Warding Rune of Disintegration,Runes,currency,0.017278,0.017278,1,1.157565,1.157565,0.05
271,0.0432,Idol of Kraityn,Socketable / Idol,0.02,-1,1.0,Idol of Kraityn,Ritual Omens,currency,0.017278,0.017278,2,1.157565,1.157565,0.05
272,0.0429,Essence of Insanity,Crafted Currency / Essences,0.022,-1,1.0,Essence of Insanity,Essences,currency,0.018897,0.018897,18,1.164236,1.164236,0.05
273,0.0381,Soul Core of Quipolatl,Socketable / Soul Cores,1.28,-1,1.0,Soul Core of Quipolatl,Soul Cores,currency,0.975729,0.975729,48,1.31184,1.31184,0.05
274,0.0378,Emergent Protection,Socketable / Runes,0.04,-1,1.0,Emergent Protection,Expedition Coinage & Artifacts,currency,0.030236,0.030236,2,1.322932,1.322932,0.05
275,0.036,Ancient Rune of Witchcraft,Socketable / Runes,0.02,-1,1.0,Ancient Rune of Witchcraft,Runes,currency,0.014398,0.014398,1,1.389078,1.389078,0.05
276,0.036,Fenumus' Rune of Draining,Socketable / Runes,0.02,-1,1.0,Fenumus' Rune of Draining,Runes,currency,0.014398,0.014398,2,1.389078,1.389078,0.05
277,0.0348,Farrul's Rune of the Hunt,Socketable / Runes,0.02,-1,1.0,Farrul's Rune of the Hunt,Runes,currency,0.013906,0.013906,33,1.438259,1.438259,0.05
278,0.0344,Soul Core of Citaqualotl,Socketable / Soul Cores,0.12,-1,1.0,Soul Core of Citaqualotl,Soul Cores,currency,0.082493,0.082493,79,1.454672,1.454672,0.05
279,0.0341,Concentrated Liquid Suffering,Crafted Currency / Distilled Items,0.1529,-1,1.0,Concentrated Liquid Suffering,Delirium,currency,0.104215,0.104215,216,1.467162,1.467162,0.05
280,0.033,Omen of Abyssal Echoes,Crafted Currency / Ritual Omens,0.198,-1,1.0,Omen of Abyssal Echoes,Ritual Omens,currency,0.130842,0.130842,3608,1.513271,1.513271,0.05
281,0.0329,Soul Core of Cholotl,Socketable / Soul Cores,0.26,-1,1.0,Soul Core of Cholotl,Soul Cores,currency,0.171086,0.171086,3,1.519706,1.519706,0.05
282,0.0323,Ulaman's Gaze,Socketable / Gaze,1.87,-1,1.0,Ulaman's Gaze,Abyssal Bones,currency,1.209076,1.209076,4,1.546636,1.546636,0.05
283,0.0308,Farrul's Rune of the Chase,Socketable / Runes,0.11,-1,1.0,Farrul's Rune of the Chase,Runes,currency,0.067833,0.067833,33,1.621632,1.621632,0.05
284,0.0307,Uhtred's Sidereus,Socketable / Runes,0.24,-1,1.0,Uhtred's Sidereus,Runes,currency,0.147226,0.147226,10,1.630152,1.630152,0.05
285,0.0306,Warding Rune of Equinox,Socketable / Runes,0.04,-1,1.0,Warding Rune of Equinox,Runes,currency,0.024477,0.024477,8,1.63421,1.63421,0.05
286,0.0305,Thaumaturgic Flux (Level 14),Skill Gems & Support Gems / Thaumaturgic Flux,0.165,-1,1.0,Thaumaturgic Flux (Level 14),Expedition Coinage & Artifacts,currency,0.100786,0.100786,3,1.637128,1.637128,0.05
287,0.0299,Refined Chayula's Catalyst,Crafted Currency / Breach Catalysts,0.198,-1,1.0,Refined Chayula's Catalyst,Breach,currency,0.118599,0.118599,112,1.669494,1.669494,0.05
288,0.0298,Thaumaturgic Flux (Level 18),Skill Gems & Support Gems / Thaumaturgic Flux,0.165,-1,1.0,Thaumaturgic Flux (Level 18),Expedition Coinage & Artifacts,currency,0.09825,0.09825,2,1.679386,1.679386,0.05
289,0.0288,Thaumaturgic Flux (Level 16),Skill Gems & Support Gems / Thaumaturgic Flux,0.165,-1,1.0,Thaumaturgic Flux (Level 16),Expedition Coinage & Artifacts,currency,0.095027,0.095027,1,1.736348,1.736348,0.05
290,0.0288,Warding Rune of Bodyguards,Socketable / Runes,0.02,-1,1.0,Warding Rune of Bodyguards,Runes,currency,0.011518,0.011518,1,1.736348,1.736348,0.05
291,0.0288,Charging Rune,Socketable / Runes,0.02,-1,1.0,Charging Rune,Runes,currency,0.011518,0.011518,1,1.736348,1.736348,0.05
292,0.0288,Lesser Charging Rune,Socketable / Runes,0.02,-1,1.0,Charging Rune,Runes,currency,0.011518,0.011518,1,1.736348,1.736348,0.05
293,0.027,Citaqualotl's Soul Core of Foulness,Socketable / Soul Cores,0.04,-1,1.0,Citaqualotl's Soul Core of Foulness,Soul Cores,currency,0.021597,0.021597,2,1.852104,1.852104,0.05
294,0.0262,Essence of Grounding,Crafted Currency / Essences,0.055,-1,1.0,Essence of Grounding,Essences,currency,0.028796,0.028796,1,1.909983,1.909983,0.05
295,0.0243,Vorana's Carnage,Socketable / Runes,0.07,-1,1.0,Vorana's Carnage,Runes,currency,0.033979,0.033979,5,2.060074,2.060074,0.05
296,0.024,Essence of Alacrity,Crafted Currency / Essences,0.033,-1,1.0,Essence of Alacrity,Essences,currency,0.015838,0.015838,2,2.083617,2.083617,0.05
297,0.0229,Opiloti's Soul Core of Assault,Socketable / Soul Cores,1.12,-1,1.0,Opiloti's Soul Core of Assault,Soul Cores,currency,0.51383,0.51383,3,2.179711,2.179711,0.05
298,0.0226,Idol of Eramir,Socketable / Idol,0.09,-1,1.0,Idol of Eramir,Ritual Omens,currency,0.040758,0.040758,34,2.208146,2.208146,0.05
299,0.022,Fox idol,Socketable / Idol,0.32,-1,1.0,Fox Idol,Idols,currency,0.140544,0.140544,47,2.276871,2.276871,0.05
300,0.0201,Chilling Flux,Crafted Currency / Flux,0.077,-1,1.0,Chilling Flux,Expedition Coinage & Artifacts,currency,0.030897,0.030897,107,2.492192,2.492192,0.05
301,0.0198,idol of Ralakesh,Socketable / Idol,0.15,-1,1.0,Idol of Ralakesh,Idols,currency,0.059453,0.059453,36,2.522982,2.522982,0.05
302,0.0194,Concentrated Liquid Fear,Crafted Currency / Distilled Items,0.0715,-1,1.0,Concentrated Liquid Fear,Delirium,currency,0.027795,0.027795,193,2.572424,2.572424,0.05
303,0.019,Blazing Flux,Crafted Currency / Flux,0.077,-1,1.0,Blazing Flux,Expedition Coinage & Artifacts,currency,0.029274,0.029274,83,2.630313,2.630313,0.05
304,0.0189,Void Flux,Crafted Currency / Flux,0.132,-1,1.0,Void Flux,Expedition Coinage & Artifacts,currency,0.049872,0.049872,58,2.646764,2.646764,0.05
305,0.0182,Lesser Desert Rune,Socketable / Runes,0.03,-1,1.0,Lesser Desert Rune,Runes,currency,0.010943,0.010943,5,2.741602,2.741602,0.05
306,0.0175,Thaumaturgic Flux (Level 15),Skill Gems & Support Gems / Thaumaturgic Flux,0.165,-1,1.0,Thaumaturgic Flux (Level 15),Expedition Coinage & Artifacts,currency,0.057592,0.057592,1,2.864974,2.864974,0.05
307,0.0172,Crackling Flux,Crafted Currency / Flux,0.077,-1,1.0,Crackling Flux,Expedition Coinage & Artifacts,currency,0.026524,0.026524,122,2.90305,2.90305,0.05
308,0.017,Soul Core of Tzamoto,Socketable / Soul Cores,0.07,-1,1.0,Soul Core of Tzamoto,Soul Cores,currency,0.023757,0.023757,4,2.94653,2.94653,0.05
309,0.016,Lesser Essence of Opulence,Crafted Currency / Essences,0.099,-1,1.0,Lesser Essence of Opulence,Essences,currency,0.031676,0.031676,1,3.125426,3.125426,0.05
310,0.0159,Soul Core of Tacati,Socketable / Soul Cores,0.15,-1,1.0,Soul Core of Tacati,Soul Cores,currency,0.04764,0.04764,76,3.148602,3.148602,0.05
311,0.0155,Potent Liquid Contempt,Crafted Currency / Distilled Items,1.089,-1,1.0,Potent Liquid Contempt,Delirium,currency,0.336633,0.336633,324,3.234981,3.234981,0.05
312,0.0154,Concentrated Liquid Isolation,Crafted Currency / Distilled Items,1.089,-1,1.0,Concentrated Liquid Isolation,Delirium,currency,0.334461,0.334461,175,3.255985,3.255985,0.05
313,0.015,Thrud's Might,Socketable / Runes,0.07,-1,1.0,Thrud's Might,Runes,currency,0.020957,0.020957,18,3.34015,3.34015,0.05
314,0.0144,Soul Core of Opiloti,Socketable / Soul Cores,0.07,-1,1.0,Soul Core of Opiloti,Soul Cores,currency,0.020157,0.020157,46,3.472696,3.472696,0.05
315,0.0141,Soul Core of Ticaba,Socketable / Soul Cores,0.07,-1,1.0,Soul Core of Ticaba,Soul Cores,currency,0.019746,0.019746,7,3.545043,3.545043,0.05
316,0.0139,Vorana's Saga,Keys ＆ Maps / Expedition Coinace &amp; Artifacts,0.11,-1,1.0,Vorana's Saga,Expedition Coinage & Artifacts,currency,0.030582,0.030582,61,3.59687,3.59687,0.05
317,0.0138,Soul Core of Topotante,Socketable / Soul Cores,0.07,-1,1.0,Soul Core of Topotante,Soul Cores,currency,0.019365,0.019365,25,3.614825,3.614825,0.05
318,0.0138,Xoph's Catalyst,Crafted Currency / Breach Catalysts,0.066,-1,1.0,Xoph's Catalyst,Breach,currency,0.018212,0.018212,1473,3.623926,3.623926,0.05
319,0.0137,Medved's Saga,Keys ＆ Maps / Expedition Coinace &amp; Artifacts,0.11,-1,1.0,Medved's Saga,Expedition Coinage & Artifacts,currency,0.030229,0.030229,59,3.638897,3.638897,0.05
320,0.0131,Lesser Essence of Ruin,Crafted Currency / Essences,0.055,-1,1.0,Lesser Essence of Ruin,Essences,currency,0.014398,0.014398,1,3.819965,3.819965,0.05
321,0.0129,Esh's Catalyst,Crafted Currency / Breach Catalysts,0.066,-1,1.0,Esh's Catalyst,Breach,currency,0.017089,0.017089,1257,3.862216,3.862216,0.05
322,0.0125,Brutus' Brain,Skill Gems & Support Gems / Lineage Support Gems,0.5577,-1,1.0,Brutus' Brain,Lineage Support Gems,currency,0.138937,0.138937,21,4.014036,4.014036,0.05
323,0.0123,Soul Core of Xopec,Socketable / Soul Cores,0.07,-1,1.0,Soul Core of Xopec,Soul Cores,currency,0.017278,0.017278,8,4.051479,4.051479,0.05
324,0.012,Thaumaturgic Flux (Level 19),Skill Gems & Support Gems / Thaumaturgic Flux,0.165,-1,1.0,Thaumaturgic Flux (Level 19),Expedition Coinage & Artifacts,currency,0.039469,0.039469,3,4.180481,4.180481,0.05
325,0.0115,Breath of Aldur,Socketable / Runes,0.05,-1,1.0,Breath of Aldur,Runes,currency,0.011518,0.011518,1,4.34087,4.34087,0.05
326,0.0108,Soul Core of Atmohua,Socketable / Soul Cores,0.08,-1,1.0,Soul Core of Atmohua,Soul Cores,currency,0.017278,0.017278,7,4.630261,4.630261,0.05
327,0.0103,Soul Core of Puhuarte,Socketable / Soul Cores,0.07,-1,1.0,Soul Core of Puhuarte,Soul Cores,currency,0.014398,0.014398,12,4.861774,4.861774,0.05
328,0.0102,Simulacrum,Keys ＆ Maps / Pinnacle Boss Keys,14.091,-1,1.0,Simulacrum,Fragments,currency,2.888355,2.888355,1251,4.878555,4.878555,0.05
329,0.01,Adaptive Alloy,Crafted Currency / Alloy,0.957,-1,1.0,Adaptive Alloy,Verisium,currency,0.191953,0.191953,73,4.985607,4.985607,0.05
330,0.0099,Tul's Catalyst,Crafted Currency / Breach Catalysts,0.066,-1,1.0,Tul's Catalyst,Breach,currency,0.01306,0.01306,904,5.053533,5.053533,0.05
331,0.0098,The Runebinder's Alloy,Crafted Currency / Alloy,0.187,-1,1.0,The Runebinder's Alloy,Verisium,currency,0.036798,0.036798,17,5.081832,5.081832,0.05
332,0.0097,Cadigan's Epiphany,Socketable / Runes,2.42,-1,1.0,Cadigan's Epiphany,Runes,currency,0.468968,0.468968,30,5.160269,5.160269,0.05
333,0.0095,Astrid's Creativity,Socketable / Runes,7.25,-1,1.0,Astrid's Creativity,Runes,currency,1.382026,1.382026,82,5.245923,5.245923,0.05
334,0.0092,Tecrod's Revenge,Skill Gems & Support Gems / Lineage Support Gems,0.7469,-1,1.0,Tecrod's Revenge,Lineage Support Gems,currency,0.137398,0.137398,24,5.436051,5.436051,0.05
335,0.009,The Runefather's Alloy,Crafted Currency / Alloy,0.066,-1,1.0,The Runefather's Alloy,Verisium,currency,0.011857,0.011857,17,5.566235,5.566235,0.05
336,0.0086,Celestial Alloy,Crafted Currency / Alloy,3.036,-1,1.0,Celestial Alloy,Verisium,currency,0.523586,0.523586,49,5.798477,5.798477,0.05
337,0.0078,Lesser Robust Rune,Socketable / Runes,0.17,-1,1.0,Lesser Robust Rune,Runes,currency,0.026492,0.026492,5,6.416938,6.416938,0.05
338,0.0075,Thaumaturgic Flux (Level 20),Skill Gems & Support Gems / Thaumaturgic Flux,1.98,-1,1.0,Thaumaturgic Flux (Level 20),Expedition Coinage & Artifacts,currency,0.296794,0.296794,4,6.671303,6.671303,0.05
339,0.0056,Kulemak's Invitation,Keys ＆ Maps / Pinnacle Boss Keys,21.989,-1,1.0,Kulemak's Invitation,Fragments,currency,2.451047,2.451047,457,8.971268,8.971268,0.05
340,0.0036,Expansive Alloy,Crafted Currency / Alloy,0.957,-1,1.0,Expansive Alloy,Verisium,currency,0.068573,0.068573,45,13.955965,13.955965,0.05
341,0.0034,Protective Alloy,Crafted Currency / Alloy,0.957,-1,1.0,Protective Alloy,Verisium,currency,0.065683,0.065683,29,14.570075,14.570075,0.05
342,0.0016,Romira's Requital,Skill Gems & Support Gems / Lineage Support Gems,2.189,-1,1.0,Romira's Requital,Lineage Support Gems,currency,0.070506,0.070506,16,31.046941,31.046941,0.05
343,0.0012,Runic Alloy,Crafted Currency / Alloy,0.957,-1,1.0,Runic Alloy,Verisium,currency,0.022221,0.022221,38,43.066655,43.066655,0.05
344,0.0,Dominus' Grasp,Skill Gems & Support Gems / Lineage Support Gems,86.075,-1,1.0,Dominus' Grasp,Lineage Support Gems,currency,0.084735,0.084735,15,1015.81269,1015.81269,0.05
